Curso,Week,Tema,Path
Algebra,1,NÚMEROS COMPLEJOS,../Materials/Algebra/SEMANA 1
Algebra,2,ECUACIONES POLINOMIALES,../Materials/Algebra/SEMANA 2
Algebra,3,INECUACIONES,../Materials/Algebra/SEMANA 3
Algebra,4,EXPRESIONES CON VALOR ABSOLUTO E IRRACIONALES,../Materials/Algebra/SEMANA 4
Algebra,5,FUNCIONES REALES Y GRAFICA DE FUNCIONES I,../Materials/Algebra/SEMANA 5
Algebra,6,GRAFICA DE FUNCIONES II,../Materials/Algebra/SEMANA 6
Algebra,7,GRAFICA DE RELACIONES,../Materials/Algebra/SEMANA 7
Algebra,8,ALGEBRA DE FUNCIONES,../Materials/Algebra/SEMANA 8
Algebra,9,FUNCIÓN INVERSA,../Materials/Algebra/SEMANA 9
Algebra,10,FUNCION EXPONENCIAL Y LOGARÍTMICA,../Materials/Algebra/SEMANA 10
Algebra,11,SUCESIONES REALES,../Materials/Algebra/SEMANA 11
Algebra,12,SERIES,../Materials/Algebra/SEMANA 12
Algebra,13,MATRICES,../Materials/Algebra/SEMANA 13
Algebra,14,DETERMINANTE,../Materials/Algebra/SEMANA 14
Algebra,15,MATRIZ INVERSA,../Materials/Algebra/SEMANA 15
Algebra,16,SISTEMA DE ECUACIONES,../Materials/Algebra/SEMANA 16
Algebra,17,PROGRAMACIÓN LINEAL,../Materials/Algebra/SEMANA 17
Aritmetica,1,RAZONES Y PROPORCIONES,../Materials/Aritmetica/SEMANA 1
Aritmetica,2,MAGNITUDES PROPORCIONALES,../Materials/Aritmetica/SEMANA 2
Aritmetica,3,PROMEDIOS Y TANTO POR CIENTO,../Materials/Aritmetica/SEMANA 3
Aritmetica,4,REGLA DE MEZCLA,../Materials/Aritmetica/SEMANA 4
Aritmetica,5,REGLA DE INTERES,../Materials/Aritmetica/SEMANA 5
Aritmetica,6,REGLA DE DESCUENTO,../Materials/Aritmetica/SEMANA 6
Aritmetica,7,TEORIA DE CONJUNTOS,../Materials/Aritmetica/SEMANA 7
Aritmetica,8,NUMERACIÓN,../Materials/Aritmetica/SEMANA 8
Aritmetica,9,OPERACIONES FUNDAMENTALES,../Materials/Aritmetica/SEMANA 9
Aritmetica,10,SUCESIONES,../Materials/Aritmetica/SEMANA 10
Aritmetica,11,TEORIA DE DIVISIBILIDAD,../Materials/Aritmetica/SEMANA 11
Aritmetica,12,NUMEROS PRIMOS Y COMPUESTOS,../Materials/Aritmetica/SEMANA 12
Aritmetica,13,MAXIMO COMUN DIVISOR Y MINIMO COMUN MULTIPLO,../Materials/Aritmetica/SEMANA 13
Aritmetica,14,NUMEROS RACIONALES,../Materials/Aritmetica/SEMANA 14
Aritmetica,15,ESTADÍSTICA,../Materials/Aritmetica/SEMANA 15
Aritmetica,16,ANALISIS COMBINATORIO,../Materials/Aritmetica/SEMANA 16
Aritmetica,17,TEORÍA DE PROBABILIDADES,../Materials/Aritmetica/SEMANA 17
Geografia,1,CARTOGRAFÍA,../Materials/Geografia/SEMANA 1
Geografia,2,CALENTAMIENTO GLOBAL,../Materials/Geografia/SEMANA 2
Geografia,3,CLIMA DEL PERÚ,../Materials/Geografia/SEMANA 3
Geografia,4,RELIEVE COSTERO,../Materials/Geografia/SEMANA 4
Geografia,5,RELIEVE ANDINO Y AMAZONICO,../Materials/Geografia/SEMANA 5
Geografia,6,MANEJO DE CUENCAS,../Materials/Geografia/SEMANA 6
Geografia,7,VERTIENTES HIDROGRAFICAS,../Materials/Geografia/SEMANA 7
Geografia,8,MAR PERUANO,../Materials/Geografia/SEMANA 8
Geografia,9,RECURSOS NATURALES,../Materials/Geografia/SEMANA 9
Geografia,10,OCHO REGIONES NATURALES,../Materials/Geografia/SEMANA 10
Geografia,11,ONCE ECORREGIONES,../Materials/Geografia/SEMANA 11
Geografia,12,AREAS NATURALES PROTEGIDAS,../Materials/Geografia/SEMANA 12
Geografia,13,FENÓMENOS Y DESASTRES NATURALES,../Materials/Geografia/SEMANA 13
Geografia,14,POBLACIÓN PERUANA I,../Materials/Geografia/SEMANA 14
Geografia,15,POBLACIÓN PERUANA II,../Materials/Geografia/SEMANA 15
Geografia,16,ACTIVIDADES ECONOMICAS,../Materials/Geografia/SEMANA 16
Geografia,17,GEOGRAFIA POLÍTICA,../Materials/Geografia/SEMANA 17
Fisica,1,"ANÁLISIS DIMENSIONAL, VECTORES Y CINEMÁTICA I",../Materials/Fisica/SEMANA 1
Fisica,2,CINEMÁTICA II,../Materials/Fisica/SEMANA 2
Fisica,3,ESTÁTICA–DINÁMICA,../Materials/Fisica/SEMANA 3
Fisica,4,TRABAJO Y ENERGÍA,../Materials/Fisica/SEMANA 4
Fisica,5,IMPULSO Y CANTIDAD DE MOVIMIENTO,../Materials/Fisica/SEMANA 5
Fisica,6,GRAVITACIÓN UNIVERSAL,../Materials/Fisica/SEMANA 6
Fisica,7,MOVIMIENTO ARMÓNICO SIMPLE,../Materials/Fisica/SEMANA 7
Fisica,8,ONDAS MECÁNICAS,../Materials/Fisica/SEMANA 8
Fisica,9,HIDROSTÁTICA–FENÓMENOS TÉRMICOS,../Materials/Fisica/SEMANA 9
Fisica,10,TERMODINÁMICA,../Materials/Fisica/SEMANA 10
Fisica,11,ELECTROSTÁTICA I,../Materials/Fisica/SEMANA 11
Fisica,12,ELECTROSTÁTICA II,../Materials/Fisica/SEMANA 12
Fisica,13,ELECTRODINÁMICA,../Materials/Fisica/SEMANA 13
Fisica,14,ELECTROMAGNETISMO I,../Materials/Fisica/SEMANA 14
Fisica,15,ELECTROMAGNETISMO II,../Materials/Fisica/SEMANA 15
Fisica,16,ÓPTICA,../Materials/Fisica/SEMANA 16
Fisica,17,OEM–FÍSICA MODERNA,../Materials/Fisica/SEMANA 17
Geometria,1,TRIÁNGULOS,../Materials/Geometria/SEMANA 1
Geometria,2,CONGRUENCIA DE TRIÁNGULOS,../Materials/Geometria/SEMANA 2
